18138100/40.573563036 	18138100/40.679593482 	18138100/40.768742666 	18138100/40.866516264 	18138100/40.964186746 	18138100/41.042850666 	18138100/41.106581663 	18138100/41.168823857 	18138100/41.228867103 	18138100/41.28723594 	18138100/41.343692749 	18138100/41.397098913 	18138100/41.448697204 	18138100/41.502947016 	18138100/41.554115622 	| 	18138100/33.036312539@9
18138100/42.832695307 	18138100/42.933421948 	18138100/43.027943841 	18138100/43.101251418 	18138100/43.162921082 	18138100/43.221202589 	18138100/43.278704459 	18138100/43.337660031 	18138100/43.396915999 	18138100/43.455244544 	18138100/43.512956136 	18138100/43.570079288 	| 	18138100/33.036312539@9
18138100/44.823788809 	18138100/44.94220104 	18138100/45.049576399 	18138100/45.126361842 	18138100/45.199077512 	18138100/45.269568073 	18138100/45.334489106 	18138100/45.399532633 	18138100/45.462876414 	18138100/45.527483036 	18138100/45.591698369 	18138100/45.654990651 	| 	18138100/33.036312539@9
18138100/46.903370276 	18138100/47.018675413 	18138100/47.117074361 	18138100/47.199689218 	18138100/47.281402617 	18138100/47.347643856 	18138100/47.41122179 	18138100/47.473665791 	18138100/47.536108069 	18138100/47.598846827 	18138100/47.660652648 	18138100/47.723009788 	| 	18138100/33.036312539@9
18138100/49.10396629 	18138100/49.219860806 	18138100/49.324998867 	18138100/49.419248706 	18138100/49.494700079 	18138100/49.565650714 	18138100/49.632648912 	18138100/49.697954878 	18138100/49.760743667 	18138100/49.82246311 	18138100/49.882682337 	18138100/49.939231597 	| 	18138100/33.036312539@9
18138100/51.179514774 	18138100/51.297341935 	18138100/51.409901927 	18138100/51.493805601 	18138100/51.573125901 	18138100/51.646788093 	18138100/51.71687534 	18138100/51.806202915 	18138100/51.910387545 	18138100/51.986986252 	18138100/52.050688879 	18138100/52.108183929 	18138100/52.165195425 	18138100/52.218870962 	18138100/52.269280886 	18138100/52.317811368 	18138100/52.36795252 	18138100/52.417234039 	18138100/52.465691763 	| 	18138100/33.036312539@9
18138100/53.697261979 	18138100/53.793648343 	18138100/53.878609152 	18138100/53.942482281 	18138100/54.008584455 	18138100/54.077414801 	18138100/54.13898973 	18138100/54.197487097 	18138100/54.257811402 	18138100/54.315688727 	18138100/54.371800352 	| 	18138100/33.036312539@9
18138100/55.665579067 	18138100/55.787647452 	18138100/55.887549785 	18138100/55.966030962 	18138100/56.036208195 	18138100/56.107022243 	18138100/56.174682863 	18138100/56.240366821 	18138100/56.303624686 	18138100/56.365908923 	18138100/56.426299065 	| 	18138100/33.036312539@9
18138100/57.721285522 	18138100/57.831035914 	18138100/57.920195415 	18138100/57.987902328 	18138100/58.044637533 	18138100/58.099580701 	18138100/58.153350829 	18138100/58.207207312 	18138100/58.260389324 	18138100/58.313533784 	18138100/58.366312634 	18138100/58.41837684 	| 	18138100/33.036312539@9
18138100/59.641901259 	18138100/59.754669181 	18138100/59.875096111 	18138100/59.981279383 	18138100/60.065716169 	18138100/60.144063679 	18138100/60.219293286 	18138100/60.292133154 	18138100/60.368037066 	18138100/60.493262603 	18138100/60.579487097 	18138100/60.646648008 	18138100/60.711671757 	18138100/60.775888765 	18138100/60.83937259 	18138100/60.90263931 	18138100/60.96720001 	18138100/61.030290648 	18138100/61.092941624 	| 	18138100/33.036312539@9
